,State,Name of reporting district,ALL_MTH00numvalid,ALL_MTH00pctprof,Year,ALL_RLA00numvalid,ALL_RLA00pctprof
0,alaska,lower kuskokwim school district,2291,37,2008,2283,43
1,alaska,lower yukon school district,1158,33,2008,1168,36
2,alaska,yupiit school district,229,20,2008,228,23
3,alaska,kashunamiut school district,176,45-49,2008,176,35-39
4,alaska,mount edgecumbe high school,175,60-64,2008,175,80-84
5,alaska,aleutians east borough school district,151,65-69,2008,152,75-79
6,alaska,aleutian region school district,18,21-39,2008,18,60-79
7,alaska,bering strait school district,880,44,2008,880,53
8,alaska,bristol bay borough school district,103,70-74,2008,103,85-89
9,alaska,alaska gateway school district,217,55,2008,215,71
10,alaska,cordova city school district,223,75,2008,223,84
11,alaska,copper river school district,288,81,2008,288,88
12,alaska,craig city school district,418,72,2008,433,88
13,alaska,delta/greely school district,564,71,2008,566,88
14,alaska,dillingham city school district,286,52,2008,286,66
15,alaska,galena city school district,2124,63,2008,2066,87
16,alaska,ketchikan gateway borough school district,1248,68,2008,1253,84
17,alaska,anchorage school district,28943,70,2008,28917,81
18,alaska,juneau borough school district,2903,71,2008,2901,83
19,alaska,sitka school district,799,71,2008,799,86
20,alaska,haines borough school district,185,75-79,2008,184,85-89
21,alaska,hoonah city school district,71,60-64,2008,71,75-79
22,alaska,hydaburg city school district,41,50-59,2008,41,60-69
23,alaska,kake city school district,50,70-79,2008,50,80-89
24,alaska,kenai peninsula borough school district,5495,77,2008,5500,89
25,alaska,klawock city school district,73,60-64,2008,73,70-74
26,alaska,kodiak island borough school district,1556,74,2008,1543,86
27,alaska,lake and peninsula borough school district,224,58,2008,223,67
28,alaska,matanuska-susitna borough school district,9872,75,2008,9886,87
29,alaska,iditarod area school district,169,50-54,2008,166,70-74
30,alaska,annette island school district,168,65-69,2008,168,80-84
31,alaska,nenana city school district,354,67,2008,356,84
32,alaska,nome public schools,393,58,2008,396,67
33,alaska,fairbanks north star borough school district,8322,74,2008,8319,84
34,alaska,north slope borough school district,877,52,2008,884,57
35,alaska,northwest arctic borough school district,1093,49,2008,1097,49
36,alaska,pelican city school district,8,,2008,8,
37,alaska,petersburg city school district,321,76,2008,323,89
38,alaska,pribilof school district,65,65-69,2008,65,75-79
39,alaska,saint mary's school district,107,55-59,2008,106,60-64
40,alaska,skagway city school district,48,,2008,48,
41,alaska,southeast island school district,103,75-79,2008,102,85-89
42,alaska,southwest region school district,405,37,2008,409,39
43,alaska,tanana city school district,22,60-79,2008,22,60-79
44,alaska,unalaska city school district,259,81,2008,259,86
45,alaska,chatham school district,83,55-59,2008,90,70-74
46,alaska,kuspuk school district,184,35-39,2008,185,40-44
47,alaska,denali borough school district,237,76,2008,236,89
48,alaska,yukon flats school district,140,30-34,2008,142,40-44
49,alaska,valdez city school district,406,78,2008,409,88
50,alaska,chugach school district,120,60-64,2008,121,80-84
51,alaska,wrangell public school district,193,85-89,2008,194,90-94
52,alaska,yakutat school district,77,65-69,2008,77,80-84
53,alaska,yukon/koyukuk school district,735,54,2008,744,73
54,arizona,cave creek unified school district,3271,86,2008,3269,89
55,arizona,chino valley unified school district,1439,72,2008,1445,75
56,arizona,clarkdale-jerome elementary school district,264,88,2008,264,85
57,arizona,salome consolidated elementary school district,79,50-54,2008,79,55-59
58,arizona,center for academic success  inc.,371,62,2008,368,63
59,arizona,pine forest education association  inc.,148,65-69,2008,148,80-84
60,arizona,flagstaff arts and leadership academy,38,70-79,2008,38,
61,arizona,montessori charter school of flagstaff  inc.,152,90-94,2008,152,
62,arizona,colorado city unified school district,214,79,2008,213,80
63,arizona,vernon elementary school district,69,70-74,2008,69,80-84
64,arizona,pinon unified school district,792,37,2008,788,40
65,arizona,heber-overgaard unified school district,282,76,2008,283,71
66,arizona,triumphant learning center,68,80-84,2008,68,85-89
67,arizona,ventana academic charter school,74,70-74,2008,74,75-79
68,arizona,mesa arts academy,142,85-89,2008,142,85-89
69,arizona,valley academy  inc.,441,96,2008,441,95
70,arizona,foothills academy,157,,2008,157,
71,arizona,twenty first century charter school  inc. dba: bennett acade,78,80-84,2008,78,70-74
72,arizona,casy country day school,29,,2008,29,
73,arizona,edu-prize  inc.,652,93,2008,652,95
74,arizona,gateway early college high school - maricopa county communit,63,80-84,2008,61,65-69
75,arizona,new school for the arts,47,80-89,2008,49,
76,arizona,carden traditional school of glendale  inc.,83,75-79,2008,83,85-89
77,arizona,salt river pima-maricopa  community schools,136,35-39,2008,138,40-44
78,arizona,kachina country day school,96,70-74,2008,96,80-84
79,arizona,espiritu community development corp.,393,51,2008,396,49
80,arizona,heritage academy  inc.,234,95,2008,234,95
81,arizona,villa montessori charter school,296,90,2008,296,92
82,arizona,edupreneurship  inc.,47,50-59,2008,47,60-69
83,arizona,arizona school for the arts,246,97,2008,246,98
84,arizona,arizona call-a-teen youth resources  inc.,24,,2008,24,21-39
85,arizona,scottsdale horizons charter school,45,40-49,2008,45,60-69
86,arizona,intelli-school  inc.,24,21-39,2008,31,50-59
87,arizona,tertulia: a learning community,63,55-59,2008,63,55-59
88,arizona,lake havasu charter school  inc.,46,40-49,2008,46,50-59
89,arizona,benjamin franklin charter school,1191,89,2008,1191,89
90,arizona,victory high school  inc.,8,,2008,9,
91,arizona,montessori day public schools chartered  inc.,97,60-64,2008,97,65-69
92,arizona,khalsa montessori elementary schools,64,,2008,64,
93,arizona,tempe preparatory academy,187,,2008,186,
94,arizona,bright beginnings school  inc.,231,,2008,231,
95,arizona,montessori education centre charter school,205,69,2008,206,78
96,arizona,kingman academy of learning,825,79,2008,830,79
97,arizona,young scholars academy charter school corp.,262,87,2008,262,84
98,arizona,northern arizona academy for career development  inc.,25,,2008,22,21-39
99,arizona,edge school  inc. the,41,50-59,2008,37,70-79
100,arizona,tucson youth development/ace charter high school,31,40-49,2008,30,40-59
101,arizona,presidio school,132,85-89,2008,134,90-94
102,arizona,colorado river union high school school district,565,56,2008,565,76
103,arizona,ppep & affiliates,213,22,2008,213,39
104,arizona,tucson urban league  inc.,15,,2008,18,21-39
105,arizona,sedona charter school  inc.,105,80-84,2008,105,85-89
106,arizona,mingus springs charter school,122,65-69,2008,122,75-79
107,arizona,franklin phonetic primary school  inc.,241,89,2008,241,88
108,arizona,skyview school  inc.,66,70-74,2008,65,80-84
109,arizona,az-tec high school,20,21-39,2008,20,40-59
110,arizona,yuma private industry council  inc.,4,,2008,4,
111,arizona,mountain school  inc.,110,90-94,2008,110,
112,arizona,northland preparatory academy,207,89,2008,207,90
113,arizona,flagstaff junior academy,160,75-79,2008,160,80-84
114,arizona,liberty high school,15,,2008,16,60-79
115,arizona,ball charter schools (hearn),316,79,2008,339,86
116,arizona,omega schools d.b.a. omega academy  inc.,245,43,2008,242,42
117,arizona,friendly house  inc.,168,60-64,2008,168,50-54
118,arizona,ombudsman educational services  ltd. a subsidiary of educati,160,25-29,2008,167,40-44
119,arizona,global renaissance academy of distinguished education,38,50-59,2008,38,60-69
120,arizona,dcs partner  inc. dba destiny community school.,62,65-69,2008,62,75-79
121,arizona,arizona agribusiness & equine center  inc.,61,80-84,2008,61,90-94
122,arizona,international commerce secondary schools  inc.,48,30-39,2008,43,50-59
123,arizona,humanities and sciences academy of the united states  inc.,21,40-59,2008,15,
124,arizona,phoenix advantage charter school  inc.,343,44,2008,343,45
125,arizona,allen-cochran enterprises  inc.,200,85-89,2008,200,90-94
126,arizona,eagles aerie schools,120,60-64,2008,120,75-79
127,arizona,fountain hills charter school,82,75-79,2008,82,75-79
128,arizona,calli ollin academy,35,,2008,30,21-39
129,arizona,hermosa montessori charter school,131,90-94,2008,131,90-94
130,arizona,accelerated learning center  inc.,36,60-69,2008,38,70-79
131,arizona,acclaim charter school,266,58,2008,266,63
132,arizona,genesis academy,33,,2008,27,21-39
133,arizona,luz academy of tucson  inc,49,60-69,2008,50,70-79
134,arizona,montessori schoolhouse of tucson  inc.,27,,2008,27,
135,arizona,academy of excellence  inc.,92,45-49,2008,92,55-59
136,arizona,accelerated elementary and secondary schools,101,80-84,2008,101,85-89
137,arizona,american heritage academy,248,68,2008,248,81
138,arizona,ideabanc  inc.,368,69,2008,371,74
139,arizona,employ-ability unlimited  inc.,162,60-64,2008,162,60-64
140,arizona,basis school  inc.,447,,2008,447,98
141,arizona,challenge school  inc.,294,96,2008,294,97
142,arizona,chester newton charter and montessori school,30,21-39,2008,30,40-59
143,arizona,d.w. higgins institute,77,60-64,2008,76,65-69
144,arizona,discovery plus academy,45,40-49,2008,45,50-59
145,arizona,e.q. scholars  inc.,37,40-49,2008,38,50-59
146,arizona,florence crittenton services of arizona  inc.,41,,2008,39,30-39
147,arizona,gem charter school  inc.,24,40-59,2008,24,60-79
148,arizona,global education foundation,38,50-59,2008,38,60-69
149,arizona,ha:san educational services,28,21-39,2008,30,40-59
150,arizona,el dorado public charter high school,49,30-39,2008,30,40-59
151,arizona,mexicayotl academy  inc.,74,30-34,2008,74,30-34
152,arizona,new horizon school for the performing arts,69,65-69,2008,69,70-74
153,arizona,new west school,27,40-59,2008,27,40-59
154,arizona,phoenix school of academic excellence the,33,40-49,2008,34,50-59
155,arizona,sequoia choice schools  lllp,561,68,2008,571,77
156,arizona,tucson preparatory school,19,,2008,23,
157,arizona,vision charter school  inc.,12,,2008,11,
158,arizona,westwind children's services,66,50-54,2008,66,70-74
159,arizona,vicki a. romero high school,85,55-59,2008,87,50-54
160,arizona,coconino county regional accommodation sd,14,,2008,8,
161,arizona,arizona academy of science and technology  inc.,63,30-34,2008,63,60-64
162,arizona,keystone montessori charter school  inc.,129,,2008,129,
163,arizona,benchmark school  inc.,222,98,2008,222,98
164,arizona,cambridge academy  east   inc,116,,2008,116,
165,arizona,ball charter schools (dobson),379,86,2008,379,89
166,arizona,phoenix education management  llc,408,72,2008,409,65
167,arizona,stepping stones academy,104,70-74,2008,104,80-84
168,arizona,advanced education services  inc.,58,70-79,2008,59,60-69
169,arizona,east valley academy,11,,2008,11,
170,arizona,liberty traditional charter school,226,57,2008,224,68
171,arizona,champion schools  inc.,84,60-64,2008,84,70-74
172,arizona,sonoran desert school,20,40-59,2008,17,40-59
173,arizona,pima county board of supervisors,8,,2008,7,
174,arizona,academy of tucson  inc.,327,90,2008,328,93
175,arizona,mountain rose academy  inc.,40,40-49,2008,33,70-79
176,arizona,great expectations academy,123,70-74,2008,123,85-89
177,arizona,desert springs academy,79,85-89,2008,79,85-89
178,arizona,vechij himdag alternative school  inc.,16,,2008,14,
179,arizona,mountain oak charter school  inc.,94,50-54,2008,94,65-69
180,arizona,park view school  inc.,147,65-69,2008,147,70-74
181,arizona,painted pony ranch charter school,72,60-64,2008,72,75-79
182,arizona,mary ellen halvorson educational foundation. dba: tri-city p,52,,2008,52,
183,arizona,benson unified school school district,557,74,2008,555,78
184,arizona,painted desert demonstration projects  inc.,56,30-39,2008,56,40-49
185,arizona,shelby school the,33,30-39,2008,33,40-49
186,arizona,precision academy systems  inc,67,30-34,2008,73,30-34
187,arizona,little lamb community school,73,,2008,73,
188,arizona,american basic schools llc,296,65,2008,296,82
189,arizona,career success schools,210,38,2008,194,50-54
190,arizona,south pointe public charter elementary school,149,30-34,2008,149,35-39
191,arizona,daisy education corporation dba sonoran science academy,498,94,2008,498,93
192,arizona,horizon community learning center  inc.,862,86,2008,862,92
193,arizona,south pointe public charter junior high school,197,25-29,2008,197,35-39
194,arizona,milestones charter school,162,85-89,2008,162,85-89
195,arizona,pathfinder charter school foundation,236,68,2008,236,72
196,arizona,james madison preparatory school,94,85-89,2008,95,90-94
197,arizona,self development charter school,132,,2008,132,
198,arizona,academy of arizona,103,40-44,2008,103,45-49
199,arizona,excalibur charter school inc,166,55-59,2008,167,60-64
200,arizona,mission charter school  inc.,89,50-54,2008,90,60-64
201,arizona,paramount education studies inc,244,67,2008,244,80
202,arizona,metropolitan arts institute  inc.,46,70-79,2008,48,
203,arizona,p.l.c. charter schools,546,60,2008,546,66
204,arizona,paragon management  inc.,883,82,2008,883,84
205,arizona,skyline schools  inc.,251,44,2008,254,54
206,arizona,choice education and development corporation - sequoia chart,437,62,2008,437,62
207,arizona,choice education and development corporation - learning cros,98,55-59,2008,98,50-54
208,arizona,choice education and development corporation - sequoia villa,129,65-69,2008,129,60-64
209,arizona,telesis center for learning  inc.,187,65-69,2008,187,75-79
210,arizona,e.a.g.l.e. academy  inc.,97,35-39,2008,98,50-54
211,arizona,little singer community school board inc.,15,,2008,15,
212,arizona,cesar chavez learning community  inc.,14,,2008,14,
213,arizona,southern arizona community academy  inc.,37,40-49,2008,38,50-59
214,arizona,tucson country day school  inc.,384,85,2008,384,88
215,arizona,multidimensional literacy corp.,115,45-49,2008,114,65-69
216,arizona,children's success academy  inc.,42,40-49,2008,42,50-59
217,arizona,carden of tucson  inc.,86,90-94,2008,87,75-79
218,arizona,southgate academy  inc.,431,36,2008,432,43
219,arizona,tag elementary  inc.,118,65-69,2008,118,70-74
220,arizona,eastpointe high school  inc.,44,30-39,2008,37,50-59
221,arizona,patagonia montessori elementary school,8,,2008,8,
222,arizona,santa cruz valley opportunities in education  inc.,30,60-79,2008,30,
223,arizona,pace preparatory academy  inc.,22,21-39,2008,18,21-39
224,arizona,kestrel schools  inc.,21,21-39,2008,20,60-79
225,arizona,juniper tree academy,270,83,2008,270,86
226,arizona,gar  llc dba student choice high school,14,,2008,15,
227,arizona,aibt non-profit charter high school - phoenix,42,19-Nov,2008,29,21-39
228,arizona,highland free school,25,40-59,2008,25,60-79
229,arizona,academy with community partners  inc,27,40-59,2008,26,60-79
230,arizona,deer valley charter schools  inc.,4,,2008,4,
231,arizona,west gilbert charter elementary school  inc.,185,65-69,2008,185,75-79
232,arizona,mohave accelerated learning center,175,65-69,2008,177,65-69
233,arizona,masada charter school  inc.,258,92,2008,258,90
234,arizona,harvest power community development group  inc.,489,53,2008,492,60
235,arizona,old pueblo children's academy,49,20-29,2008,49,40-49
236,arizona,omega alpha academy,282,45,2008,281,41
237,arizona,montessori house  inc.,19,,2008,19,
238,arizona,premier charter high school,59,,2008,57,30-39
239,arizona,pan-american elementary charter,211,83,2008,211,76
240,arizona,kingman unified school school district,3937,62,2008,3940,68
241,arizona,el centro for the study of primary and secondary education,124,55-59,2008,124,50-54
242,arizona,sierra summit academy,7,,2008,6,
243,arizona,legacy schools,147,45-49,2008,146,60-64
244,arizona,visions unlimited academy  inc.,36,60-69,2008,36,50-59
245,arizona,twenty first century charter schools  inc.,14,,2008,14,
246,arizona,north star charter school  inc.,31,20-29,2008,34,40-49
247,arizona,carden traditional school of surprise  inc.,204,85,2008,204,93
248,arizona,e-institute charter schools  inc.,48,40-49,2008,53,60-69
249,arizona,ira h. hayes memorial applied learning center  inc.,25,21-39,2008,28,40-59
250,arizona,new visions academy  inc.,20,40-59,2008,22,40-59
251,arizona,developing innovations in navajo education  inc. (dine  inc.,3,,2008,5,
252,arizona,yavapai accommodation school school district,14,,2008,12,
253,arizona,khalsa family services,106,80-84,2008,106,90-94
254,arizona,aprender tucson,184,40-44,2008,184,40-44
255,arizona,tlc charter schools  inc,54,30-39,2008,54,40-49
256,arizona,acorn montessori charter school,167,75-79,2008,167,80-84
257,arizona,pinnacle education-wmcb  inc.,25,21-39,2008,23,40-59
258,arizona,desert rose academy inc.,47,30-39,2008,50,40-49
259,arizona,crown charter school  inc,85,80-84,2008,85,90-94
260,arizona,arizona school for integrated academics and technologies  in,21,,2008,19,21-39
261,arizona,superior school,14,,2008,15,
262,arizona,success school,176,50-54,2008,174,60-64
263,arizona,pointe educational services,646,80,2008,645,84
264,arizona,center for creative education  inc,25,60-79,2008,25,
265,arizona,primavera technical learning center,337,40,2008,384,66
266,arizona,compass high school  inc.,40,20-29,2008,40,50-59
267,arizona,james sandoval preparatory high school,42,50-59,2008,42,60-69
268,arizona,westwind middle school academy,53,50-59,2008,52,60-69
269,arizona,accelerated learning charter school  inc.,36,60-69,2008,36,60-69
270,arizona,destiny school  inc.,148,75-79,2008,148,75-79
271,arizona,noah webster basic school,564,84,2008,564,85
272,arizona,griffin foundation  inc. the,185,60-64,2008,184,70-74
273,arizona,pathways km charter schools  inc,12,,2008,13,
274,arizona,peak school inc.  the,92,60-64,2008,92,60-64
275,arizona,apex public charter academy dba apex public academy,227,66,2008,228,69
276,arizona,american charter schools foundation d.b.a. estrella high sch,84,30-34,2008,77,40-44
277,arizona,american charter schools foundation d.b.a. peoria accelerate,94,30-34,2008,84,45-49
278,arizona,american charter schools foundation d.b.a. sun valley high s,88,20-24,2008,76,45-49
279,arizona,american charter schools foundation d.b.a. west phoenix high,103,30-34,2008,99,40-44
280,arizona,nosotros  inc,42,30-39,2008,35,40-49
281,arizona,american charter schools foundation d.b.a. apache trail high,39,30-39,2008,33,40-49
282,arizona,challenger basic school  inc.,93,,2008,93,
283,arizona,sierra oaks school  inc,48,40-49,2008,48,60-69
284,arizona,arizona community development corporation,731,56,2008,732,63
285,arizona,sc jensen corporation  inc. dba intelli-school,6,,2008,4,
286,arizona,pas charter  inc.  dba intelli-school,35,20-29,2008,43,50-59
287,arizona,ycfa achieve academy dba ycfa achieve academy,51,20-29,2008,50,40-49
288,arizona,valley of the sun waldorf education association  dba desert,113,45-49,2008,113,70-74
289,arizona,pima prevention partnership dba pima partnership school  the,23,21-39,2008,20,40-59
290,arizona,academy of math and science  inc.,163,80-84,2008,163,70-74
291,arizona,midtown primary school,31,50-59,2008,31,70-79
292,arizona,tucson international academy  inc.,158,45-49,2008,159,45-49
293,arizona,bell canyon charter school  inc,120,60-64,2008,120,60-64
294,arizona,sierra vista charter school  inc.,252,67,2008,252,73
295,arizona,cortez park charter middle school  inc.,140,55-59,2008,140,70-74
296,arizona,west gilbert charter middle school  inc.,102,65-69,2008,102,65-69
297,arizona,gila educational group dba gila preparatory academy,47,19-Nov,2008,47,20-29
298,arizona,flagstaff unified school school district charter school board  inc,33,20-29,2008,33,19-Nov
299,arizona,4-winds academy  incorporated dba 4-winds academy,14,,2008,14,
300,arizona,carpe diem collegiate high school,110,,2008,112,
301,arizona,calli ollin academy dba toltecalli academy,25,,2008,26,21-39
302,arizona,life skills center of arizona  inc. dba life skills center o,29,21-39,2008,27,40-59
303,arizona,american charter schools foundation d.b.a. desert hills high,145,65-69,2008,141,65-69
304,arizona,american charter schools foundation d.b.a. ocotillo high sch,45,20-29,2008,46,50-59
305,arizona,summit public charter high school,83,15-19,2008,83,40-44
306,arizona,tempe accelerated public charter high school,42,30-39,2008,50,40-49
307,arizona,tucson accelerated public charter high school,38,50-59,2008,38,60-69
308,arizona,maya public charter high school,107,25-29,2008,110,40-44
309,arizona,camelback education  inc,190,60-64,2008,189,65-69
310,arizona,sunnyside charter and montessori school,28,40-59,2008,28,40-59
311,arizona,lifelong learning research institute  inc dba lifelong learn,53,,2008,53,
312,arizona,avondale learning dba precision academy,21,,2008,21,60-79
313,arizona,lead charter schools,316,77,2008,316,82
314,arizona,all aboard charter school dba all aboard charter school,21,,2008,21,
315,arizona,cafa  inc.,292,54,2008,291,67
316,arizona,founding fathers academies  inc,73,30-34,2008,73,55-59
317,arizona,montessori academy  inc.,49,,2008,49,
318,arizona,new world educational center,147,65-69,2008,147,70-74
319,arizona,cholla academy,135,70-74,2008,136,75-79
320,arizona,akimel o'otham pee posh charter school  inc.,63,65-69,2008,63,55-59
321,arizona,cornerstone charter school inc,19,21-39,2008,26,21-39
322,arizona,happy valley school  inc.,275,96,2008,275,94
323,arizona,tucson small school project,49,50-59,2008,52,70-79
324,arizona,satori  inc.,131,85-89,2008,131,90-94
325,arizona,arizona upgrade academy  inc.,29,40-59,2008,29,40-59
326,arizona,mohave accelerated elementary school  inc.,91,70-74,2008,91,65-69
327,arizona,academy of building industries  inc.,19,60-79,2008,21,60-79
328,arizona,arizona montessori charter school at anthem,65,65-69,2008,65,75-79
329,arizona,starshine academy,62,20-24,2008,60,20-29
330,arizona,arizona agribusiness & equine center  inc,97,75-79,2008,95,85-89
331,arizona,ahwatukee foothills prep  inc.,114,65-69,2008,114,70-74
332,arizona,gila county regional school school district,32,19-Nov,2008,28,21-39
333,arizona,pillar charter school,6,,2008,6,
334,arizona,esperanza community collegial academy,13,,2008,16,
335,arizona,legacy education group,35,20-29,2008,36,50-59
336,arizona,rosefield charter elementary school  inc.,327,80,2008,327,84
337,arizona,east mesa charter elementary school  inc.,238,63,2008,238,67
338,arizona,arizona agribusiness & equine center  inc.,37,70-79,2008,37,
339,arizona,arizona connections academy charter school  inc.,456,72,2008,459,84
340,arizona,country gardens educational services  llc,200,45-49,2008,200,50-54
341,arizona,beginning academy  inc.,17,,2008,17,
342,arizona,a child's view school  inc.,30,60-79,2008,30,
343,arizona,ppep & affiliates  inc. dba arizona virtual academy,2742,55,2008,2754,72
344,arizona,el pueblo integral - teaching & learning collaborative,72,70-74,2008,72,80-84
345,arizona,santa cruz county regional school school district,22,,2008,21,21-39
346,arizona,wildcat secondary school,122,50-54,2008,122,50-54
347,arizona,nazlini community school  inc.,22,40-59,2008,22,21-39
348,arizona,imagine charter elementary at desert west  inc.,193,60-64,2008,193,55-59
349,arizona,desert star community school  inc.,45,70-79,2008,45,80-89
350,arizona,chandler preparatory academy,268,98,2008,268,96
351,arizona,imagine middle at surprise  inc.,271,56,2008,271,67
352,arizona,imagine middle at east mesa  inc.,69,55-59,2008,69,70-74
353,arizona,prescott valley charter school,94,55-59,2008,96,60-64
354,arizona,imagine charter elementary at camelback  inc.,70,35-39,2008,69,40-44
355,arizona,imagine elementary at tempe  inc.,130,55-59,2008,130,65-69
356,arizona,american charter schools foundation d.b.a. south ridge high,101,65-69,2008,106,75-79
357,arizona,desert sky community school  inc.,24,40-59,2008,24,40-59
358,arizona,agua fria union high school school district,1617,73,2008,1618,77
359,arizona,kin dah lichii olta  inc.,17,40-59,2008,17,40-59
360,arizona,ha:san educational services,52,20-29,2008,52,40-49
361,arizona,arizona state school for the deaf and blind,232,16,2008,231,15
362,arizona,aguila elementary school district,114,50-54,2008,114,40-44
363,arizona,ajo unified school district,245,50,2008,246,60
364,arizona,alhambra elementary school district,9301,66,2008,9301,63
365,arizona,basis school  inc.,460,,2008,462,
366,arizona,bradley academy of excellence  inc.,55,40-49,2008,55,40-49
367,arizona,partnership with parents  inc.  dba desert heights charter s,253,82,2008,253,82
368,arizona,new samaritan high school,8,,2008,8,
369,arizona,educational impact  inc.,21,40-59,2008,21,40-59
370,arizona,maricopa county community college school district on behalf of teac,12,,2008,10,
371,arizona,new school for the arts middle school,73,70-74,2008,72,80-84
372,arizona,montezuma public charter middle school,29,21-39,2008,29,21-39
373,arizona,american charter schools foundation d.b.a. south pointe high,172,25-29,2008,169,35-39
374,arizona,american charter schools foundation d.b.a. alta vista high s,107,45-49,2008,109,50-54
375,arizona,pinnacle education-mesa  inc.,18,,2008,14,
376,arizona,pinnacle education-tempe  inc.,171,40-44,2008,132,70-74
377,arizona,pinnacle education-kino  inc.,19,,2008,21,21-39
378,arizona,pinnacle education-casa grande  inc.,31,19-Nov,2008,29,40-59
379,arizona,back-to-basics school,43,20-29,2008,43,30-39
380,arizona,alpine elementary school district,36,,2008,36,
381,arizona,patriot academy  inc.,38,70-79,2008,38,80-89
382,arizona,cochise community development corporation,135,50-54,2008,135,60-64
383,arizona,canyon rose academy  inc.,63,20-24,2008,57,40-49
384,arizona,allsport enterprises  inc.,50,20-29,2008,50,30-39
385,arizona,blueprint education,67,30-34,2008,59,50-59
386,arizona,edkey  inc. - redwood academy,41,40-49,2008,41,50-59
387,arizona,edkey  inc. - pathfinder academy,45,,2008,45,80-89
388,arizona,choice education & development corp. - sequoia school for th,26,,2008,26,
389,arizona,edkey  inc. - sequoia ranch school,305,37,2008,306,44
390,arizona,heritage elementary school,526,56,2008,525,62
391,arizona,integrity education incorporated,26,21-39,2008,26,21-39
392,arizona,choice education and development corporation dba arizona con,186,65-69,2008,185,75-79
393,arizona,veritas preparatory academy,178,,2008,176,
394,arizona,rsd charter school  inc.,56,30-39,2008,72,40-44
395,arizona,amphitheater unified school district,8385,77,2008,8388,78
396,arizona,antelope union high school school district,68,70-74,2008,72,70-74
397,arizona,charter for excellence,380,85,2008,380,84
398,arizona,eduprize schools  llc,606,83,2008,606,86
399,arizona,scottsdale preparatory academy,240,95,2008,240,95
400,arizona,sage academy  inc.,5,,2008,5,
401,arizona,apache elementary school district,2,,2008,2,
402,arizona,imagine middle at desert west  llc,184,60-64,2008,184,60-64
403,arizona,freedom academy  inc.,147,80-84,2008,147,85-89
404,arizona,imagine middle at camelback  llc,61,30-34,2008,61,35-39
405,arizona,mesa preparatory academy  inc.,154,90-94,2008,154,
406,arizona,candeo schools  inc.,95,,2008,95,90-94
407,arizona,arizona academy of leadership  inc.,86,40-44,2008,86,45-49
408,arizona,glendale preparatory academy,130,,2008,130,
409,arizona,tempe preparatory junior academy,20,,2008,20,
410,arizona,university public schools  inc.,120,90-94,2008,120,90-94
411,arizona,imagine elementary at coolidge  llc,192,70-74,2008,192,70-74
412,arizona,pima prevention partnership dba pima partnership academy,54,20-29,2008,52,30-39
413,arizona,imagine middle at coolidge  llc,74,55-59,2008,74,65-69
414,arizona,imagine preparatory high school at surprise  llc,32,50-59,2008,35,50-59
415,arizona,blue adobe project,8,,2008,11,
416,arizona,sonoran science academy - broadway,144,85-89,2008,144,85-89
417,arizona,san tan montessori school  inc.,4,,2008,4,
418,arizona,daisy education corporation dba sonoran science academy - ph,145,65-69,2008,145,70-74
419,arizona,paragon education corporation,56,,2008,56,
420,arizona,imagine elementary at avondale  llc,77,40-44,2008,77,45-49
421,arizona,math and science success academy  inc.,26,,2008,26,
422,arizona,imagine preparatory high school at apache junction  llc,32,40-49,2008,33,70-79
423,arizona,az compass schools  inc.,27,40-59,2008,27,60-79
424,arizona,west valley arts and technology academy  inc.,95,45-49,2008,95,55-59
425,arizona,apache junction unified school district,3119,67,2008,3129,73
426,arizona,arlington elementary school district,194,65-69,2008,194,70-74
427,arizona,ash creek elementary school district,16,40-59,2008,16,
428,arizona,ash fork joint unified school district,152,45-49,2008,151,60-64
429,arizona,avondale elementary school district,4145,64,2008,4147,66
430,arizona,bagdad unified school district,224,73,2008,225,76
431,arizona,balsz elementary school district,1736,56,2008,1736,52
432,arizona,beaver creek elementary school district,247,60,2008,246,60
433,arizona,bicentennial union high school school district,33,60-69,2008,34,50-59
434,arizona,bisbee unified school district,458,60,2008,458,67
435,arizona,blue elementary school district,5,,2008,5,
436,arizona,bonita elementary school district,71,60-64,2008,71,75-79
437,arizona,bouse elementary school district,23,60-79,2008,23,
438,arizona,bowie unified school district,41,40-49,2008,43,70-79
439,arizona,buckeye elementary school district,2893,60,2008,2894,64
440,arizona,buckeye union high school school district,851,76,2008,853,74
441,arizona,sierra vista unified school district,3130,75,2008,3124,80
442,arizona,bullhead city school school district,2300,62,2008,2301,63
443,arizona,camp verde unified school district,766,61,2008,769,67
444,arizona,canon elementary school district,121,75-79,2008,121,70-74
445,arizona,cartwright elementary school district,11790,61,2008,11793,57
446,arizona,casa grande elementary school district,5083,71,2008,5083,70
447,arizona,casa grande union high school school district,883,64,2008,881,68
448,arizona,catalina foothills unified school district,2537,89,2008,2539,92
449,arizona,cedar unified school district,186,45-49,2008,185,40-44
450,arizona,chandler unified school district,19552,84,2008,19551,82
451,arizona,chinle unified school district,2008,46,2008,2011,48
452,arizona,clifton unified school district,56,30-39,2008,56,40-49
453,arizona,cochise elementary school district,62,75-79,2008,62,80-84
454,arizona,concho elementary school district,131,65-69,2008,131,75-79
455,arizona,congress elementary school district,73,,2008,73,90-94
456,arizona,continental elementary school district,311,74,2008,300,80
457,arizona,coolidge unified school district,2571,54,2008,2585,60
458,arizona,cottonwood-oak creek elementary school district,1633,68,2008,1632,70
459,arizona,crane elementary school district,4137,69,2008,4142,69
